Title;Review;Weight;Price_before_discount;Discount;Price;Date;Origin;Brand;Id;Url;Subcategory;Date_collecting_data;Swiss_Product;Bio;Word_count;Unit;clean_unit;calculated_price_per100g_perStück;Weight_unit;discount_start_date;discount_ende_date;discount_start_day;discount_ende_day;Discount_duration;Discount_exist
Nüsslisalat 125g;2.0;pro 125g | 100g = 2.20 CHF;2.75;;2.75;;Schweiz;;82051;https://sortiment.lidl.ch/de/nuesslisalat-125g-0082051;Gemüse;;yes;no;2;125g;125g;2.2;g;;;;;;no
Bio Rucola 100g;;pro 100g |;1.49;;1.49;;Italien;BIO Organic;84520;https://sortiment.lidl.ch/de/bio-rucola-100g-0084520;Gemüse;;no;yes;3;100g;100g;1.49;g;;;;;;no
Kopfsalat rot;2.0;pro Stück |;1.59;;1.59;;Schweiz;;82072;https://sortiment.lidl.ch/de/kopfsalat-rot-0082072;Gemüse;;yes;no;2;Stück;1 Stück;1.59;Stück;;;;;;no
Kopfsalatherzen 2 Stück;;pro 2 Stück |;2.99;;2.99;;Schweiz;;82069;https://sortiment.lidl.ch/de/kopfsalatherzen-2-stueck-0082069;Gemüse;;yes;no;3;2;2 Stücke;1.5;Stück;;;;;;no
Chicorée 500g;7.0;pro 500g | 1Kg = 3.98 CHF;1.99;;1.99;;variabel;;82015;https://sortiment.lidl.ch/de/chicoree-500g-0082015;Gemüse;;no;no;2;500g;500g;0.4;g;;;;;;no
Dattelcherry-Tomaten 250g;10.0;pro 250g | 100g = 1.00 CHF;2.49;;2.49;;Schweiz;;82407;https://sortiment.lidl.ch/de/dattelcherry-tomaten-250g-0082407;Gemüse;;yes;no;2;250g;250g;1.0;g;;;;;;no
Bio Rispentomaten 500g;2.0;pro 500g | 1Kg = 5.98 CHF;2.99;;2.99;;variabel;BIO Organic;84570;https://sortiment.lidl.ch/de/bio-rispentomaten-500g-0084570;Gemüse;;no;yes;3;500g;500g;0.6;g;;;;;;no
Bio Cherry-Rispentomaten;;pro 400g | 100g = 0.75 CHF;2.99;;2.99;;Spanien;BIO Organic;84549;https://sortiment.lidl.ch/de/bio-cherry-rispentomaten-0084549;Gemüse;;no;yes;2;400g;400g;0.75;g;;;;;;no
BIO Dattel-Cherrytomaten 250g;;pro 250g | 100g = 1.52 CHF;3.79;;3.79;;Schweiz;BIO Organic;84560;https://sortiment.lidl.ch/de/bio-dattel-cherrytomaten-250g-0084560;Gemüse;;yes;yes;3;250g;250g;1.52;g;;;;;;no
Tomaten San Marzano;;pro 1kg |;3.79;;3.79;;Schweiz;;82505;https://sortiment.lidl.ch/de/tomaten-san-marzano-0082505;Gemüse;;yes;no;3;1kg;1000g;0.38;g;;;;;;no
Tomaten Coeur de Boeuf;7.0;pro 1kg |;4.49;;4.49;;Schweiz;;82500;https://sortiment.lidl.ch/de/tomaten-coeur-de-boeuf-0082500;Gemüse;;yes;no;4;1kg;1000g;0.45;g;;;;;;no
Tomaten 1kg;1.0;pro 1kg |;1.89;;1.89;;variabel;;82488;https://sortiment.lidl.ch/de/tomaten-1kg-0082488;Gemüse;;no;no;2;1kg;1000g;0.19;g;;;;;;no
Tomaten;;pro 1kg |;2.95;;2.95;;Schweiz;typisch;82480;https://sortiment.lidl.ch/de/tomaten-0082480;Gemüse;;yes;no;1;1kg;1000g;0.3;g;;;;;;no
Rispentomaten;1.0;pro 1kg |;3.59;;3.59;;Schweiz;typisch;82465;https://sortiment.lidl.ch/de/rispentomaten-0082465;Gemüse;;yes;no;1;1kg;1000g;0.36;g;;;;;;no
Romatomaten 500g;1.0;pro 500g | 1Kg = 3.98 CHF;1.99;;1.99;;variabel;;82446;https://sortiment.lidl.ch/de/romatomaten-500g-0082446;Gemüse;;no;no;2;500g;500g;0.4;g;;;;;;no
